date,year,month,day,week,day_of_week
23-02-2024,2024,2,23,8,4
24-02-2024,2024,2,24,8,5
25-02-2024,2024,2,25,8,6
26-02-2024,2024,2,26,9,0
27-02-2024,2024,2,27,9,1
28-02-2024,2024,2,28,9,2
29-02-2024,2024,2,29,9,3
01-03-2024,2024,3,1,9,4
02-03-2024,2024,3,2,9,5
03-03-2024,2024,3,3,9,6
04-03-2024,2024,3,4,10,0
05-03-2024,2024,3,5,10,1
06-03-2024,2024,3,6,10,2
07-03-2024,2024,3,7,10,3
08-03-2024,2024,3,8,10,4
09-03-2024,2024,3,9,10,5
10-03-2024,2024,3,10,10,6
11-03-2024,2024,3,11,11,0
12-03-2024,2024,3,12,11,1
13-03-2024,2024,3,13,11,2
14-03-2024,2024,3,14,11,3
15-03-2024,2024,3,15,11,4
16-03-2024,2024,3,16,11,5
17-03-2024,2024,3,17,11,6
18-03-2024,2024,3,18,12,0
19-03-2024,2024,3,19,12,1
20-03-2024,2024,3,20,12,2
21-03-2024,2024,3,21,12,3
22-03-2024,2024,3,22,12,4
23-03-2024,2024,3,23,12,5
24-03-2024,2024,3,24,12,6
25-03-2024,2024,3,25,13,0
26-03-2024,2024,3,26,13,1
27-03-2024,2024,3,27,13,2
28-03-2024,2024,3,28,13,3
29-03-2024,2024,3,29,13,4
30-03-2024,2024,3,30,13,5
31-03-2024,2024,3,31,13,6
01-04-2024,2024,4,1,14,0
02-04-2024,2024,4,2,14,1
03-04-2024,2024,4,3,14,2
04-04-2024,2024,4,4,14,3
05-04-2024,2024,4,5,14,4
06-04-2024,2024,4,6,14,5
07-04-2024,2024,4,7,14,6
08-04-2024,2024,4,8,15,0
09-04-2024,2024,4,9,15,1
10-04-2024,2024,4,10,15,2
11-04-2024,2024,4,11,15,3
12-04-2024,2024,4,12,15,4
13-04-2024,2024,4,13,15,5
14-04-2024,2024,4,14,15,6
15-04-2024,2024,4,15,16,0
16-04-2024,2024,4,16,16,1
17-04-2024,2024,4,17,16,2
18-04-2024,2024,4,18,16,3
19-04-2024,2024,4,19,16,4
20-04-2024,2024,4,20,16,5
21-04-2024,2024,4,21,16,6
22-04-2024,2024,4,22,17,0
23-04-2024,2024,4,23,17,1
24-04-2024,2024,4,24,17,2
25-04-2024,2024,4,25,17,3
26-04-2024,2024,4,26,17,4
27-04-2024,2024,4,27,17,5
28-04-2024,2024,4,28,17,6
29-04-2024,2024,4,29,18,0
30-04-2024,2024,4,30,18,1
01-05-2024,2024,5,1,18,2
02-05-2024,2024,5,2,18,3
03-05-2024,2024,5,3,18,4
04-05-2024,2024,5,4,18,5
05-05-2024,2024,5,5,18,6
06-05-2024,2024,5,6,19,0
07-05-2024,2024,5,7,19,1
08-05-2024,2024,5,8,19,2
09-05-2024,2024,5,9,19,3
10-05-2024,2024,5,10,19,4
11-05-2024,2024,5,11,19,5
12-05-2024,2024,5,12,19,6
13-05-2024,2024,5,13,20,0
14-05-2024,2024,5,14,20,1
15-05-2024,2024,5,15,20,2
16-05-2024,2024,5,16,20,3
17-05-2024,2024,5,17,20,4
18-05-2024,2024,5,18,20,5
19-05-2024,2024,5,19,20,6
20-05-2024,2024,5,20,21,0
21-05-2024,2024,5,21,21,1
22-05-2024,2024,5,22,21,2
23-05-2024,2024,5,23,21,3
24-05-2024,2024,5,24,21,4
25-05-2024,2024,5,25,21,5
26-05-2024,2024,5,26,21,6
27-05-2024,2024,5,27,22,0
28-05-2024,2024,5,28,22,1
29-05-2024,2024,5,29,22,2
30-05-2024,2024,5,30,22,3
31-05-2024,2024,5,31,22,4
01-06-2024,2024,6,1,22,5
02-06-2024,2024,6,2,22,6
03-06-2024,2024,6,3,23,0
04-06-2024,2024,6,4,23,1
05-06-2024,2024,6,5,23,2
06-06-2024,2024,6,6,23,3
07-06-2024,2024,6,7,23,4
08-06-2024,2024,6,8,23,5
09-06-2024,2024,6,9,23,6
10-06-2024,2024,6,10,24,0
11-06-2024,2024,6,11,24,1
12-06-2024,2024,6,12,24,2
13-06-2024,2024,6,13,24,3
14-06-2024,2024,6,14,24,4
15-06-2024,2024,6,15,24,5
16-06-2024,2024,6,16,24,6
17-06-2024,2024,6,17,25,0
18-06-2024,2024,6,18,25,1
19-06-2024,2024,6,19,25,2
20-06-2024,2024,6,20,25,3
21-06-2024,2024,6,21,25,4
22-06-2024,2024,6,22,25,5
23-06-2024,2024,6,23,25,6
24-06-2024,2024,6,24,26,0
25-06-2024,2024,6,25,26,1
26-06-2024,2024,6,26,26,2
27-06-2024,2024,6,27,26,3
28-06-2024,2024,6,28,26,4
29-06-2024,2024,6,29,26,5
30-06-2024,2024,6,30,26,6
01-07-2024,2024,7,1,27,0
02-07-2024,2024,7,2,27,1
03-07-2024,2024,7,3,27,2
04-07-2024,2024,7,4,27,3
05-07-2024,2024,7,5,27,4
06-07-2024,2024,7,6,27,5
07-07-2024,2024,7,7,27,6
08-07-2024,2024,7,8,28,0
09-07-2024,2024,7,9,28,1
10-07-2024,2024,7,10,28,2
11-07-2024,2024,7,11,28,3
12-07-2024,2024,7,12,28,4
13-07-2024,2024,7,13,28,5
14-07-2024,2024,7,14,28,6
15-07-2024,2024,7,15,29,0
16-07-2024,2024,7,16,29,1
17-07-2024,2024,7,17,29,2
18-07-2024,2024,7,18,29,3
19-07-2024,2024,7,19,29,4
20-07-2024,2024,7,20,29,5
21-07-2024,2024,7,21,29,6
22-07-2024,2024,7,22,30,0
23-07-2024,2024,7,23,30,1
24-07-2024,2024,7,24,30,2
25-07-2024,2024,7,25,30,3
26-07-2024,2024,7,26,30,4
27-07-2024,2024,7,27,30,5
28-07-2024,2024,7,28,30,6
29-07-2024,2024,7,29,31,0
30-07-2024,2024,7,30,31,1
31-07-2024,2024,7,31,31,2
01-08-2024,2024,8,1,31,3
02-08-2024,2024,8,2,31,4
03-08-2024,2024,8,3,31,5
04-08-2024,2024,8,4,31,6
05-08-2024,2024,8,5,32,0
06-08-2024,2024,8,6,32,1
07-08-2024,2024,8,7,32,2
08-08-2024,2024,8,8,32,3
09-08-2024,2024,8,9,32,4
10-08-2024,2024,8,10,32,5
11-08-2024,2024,8,11,32,6
12-08-2024,2024,8,12,33,0
13-08-2024,2024,8,13,33,1
14-08-2024,2024,8,14,33,2
15-08-2024,2024,8,15,33,3
16-08-2024,2024,8,16,33,4
17-08-2024,2024,8,17,33,5
18-08-2024,2024,8,18,33,6
19-08-2024,2024,8,19,34,0
20-08-2024,2024,8,20,34,1
21-08-2024,2024,8,21,34,2
22-08-2024,2024,8,22,34,3
23-08-2024,2024,8,23,34,4
24-08-2024,2024,8,24,34,5
25-08-2024,2024,8,25,34,6
26-08-2024,2024,8,26,35,0
27-08-2024,2024,8,27,35,1
28-08-2024,2024,8,28,35,2
29-08-2024,2024,8,29,35,3
30-08-2024,2024,8,30,35,4
31-08-2024,2024,8,31,35,5
01-09-2024,2024,9,1,35,6
02-09-2024,2024,9,2,36,0
03-09-2024,2024,9,3,36,1
04-09-2024,2024,9,4,36,2
05-09-2024,2024,9,5,36,3
06-09-2024,2024,9,6,36,4
07-09-2024,2024,9,7,36,5
08-09-2024,2024,9,8,36,6
09-09-2024,2024,9,9,37,0
10-09-2024,2024,9,10,37,1
11-09-2024,2024,9,11,37,2
12-09-2024,2024,9,12,37,3
13-09-2024,2024,9,13,37,4
14-09-2024,2024,9,14,37,5
15-09-2024,2024,9,15,37,6
16-09-2024,2024,9,16,38,0
17-09-2024,2024,9,17,38,1
18-09-2024,2024,9,18,38,2
19-09-2024,2024,9,19,38,3
20-09-2024,2024,9,20,38,4
21-09-2024,2024,9,21,38,5
22-09-2024,2024,9,22,38,6
23-09-2024,2024,9,23,39,0
24-09-2024,2024,9,24,39,1
25-09-2024,2024,9,25,39,2
26-09-2024,2024,9,26,39,3
27-09-2024,2024,9,27,39,4
28-09-2024,2024,9,28,39,5
29-09-2024,2024,9,29,39,6
30-09-2024,2024,9,30,40,0
01-10-2024,2024,10,1,40,1
02-10-2024,2024,10,2,40,2
03-10-2024,2024,10,3,40,3
04-10-2024,2024,10,4,40,4
05-10-2024,2024,10,5,40,5
06-10-2024,2024,10,6,40,6
07-10-2024,2024,10,7,41,0
08-10-2024,2024,10,8,41,1
09-10-2024,2024,10,9,41,2
10-10-2024,2024,10,10,41,3
11-10-2024,2024,10,11,41,4
12-10-2024,2024,10,12,41,5
13-10-2024,2024,10,13,41,6
14-10-2024,2024,10,14,42,0
15-10-2024,2024,10,15,42,1
16-10-2024,2024,10,16,42,2
17-10-2024,2024,10,17,42,3
18-10-2024,2024,10,18,42,4
19-10-2024,2024,10,19,42,5
20-10-2024,2024,10,20,42,6
21-10-2024,2024,10,21,43,0
22-10-2024,2024,10,22,43,1
23-10-2024,2024,10,23,43,2
24-10-2024,2024,10,24,43,3
25-10-2024,2024,10,25,43,4
26-10-2024,2024,10,26,43,5
27-10-2024,2024,10,27,43,6
28-10-2024,2024,10,28,44,0
29-10-2024,2024,10,29,44,1
30-10-2024,2024,10,30,44,2
31-10-2024,2024,10,31,44,3
01-11-2024,2024,11,1,44,4
02-11-2024,2024,11,2,44,5
03-11-2024,2024,11,3,44,6
04-11-2024,2024,11,4,45,0
05-11-2024,2024,11,5,45,1
06-11-2024,2024,11,6,45,2
07-11-2024,2024,11,7,45,3
08-11-2024,2024,11,8,45,4
09-11-2024,2024,11,9,45,5
10-11-2024,2024,11,10,45,6
11-11-2024,2024,11,11,46,0
12-11-2024,2024,11,12,46,1
13-11-2024,2024,11,13,46,2
14-11-2024,2024,11,14,46,3
15-11-2024,2024,11,15,46,4
16-11-2024,2024,11,16,46,5
17-11-2024,2024,11,17,46,6
18-11-2024,2024,11,18,47,0
19-11-2024,2024,11,19,47,1
20-11-2024,2024,11,20,47,2
21-11-2024,2024,11,21,47,3
22-11-2024,2024,11,22,47,4
23-11-2024,2024,11,23,47,5
24-11-2024,2024,11,24,47,6
25-11-2024,2024,11,25,48,0
26-11-2024,2024,11,26,48,1
27-11-2024,2024,11,27,48,2
28-11-2024,2024,11,28,48,3
29-11-2024,2024,11,29,48,4
30-11-2024,2024,11,30,48,5
01-12-2024,2024,12,1,48,6
02-12-2024,2024,12,2,49,0
03-12-2024,2024,12,3,49,1
04-12-2024,2024,12,4,49,2
05-12-2024,2024,12,5,49,3
06-12-2024,2024,12,6,49,4
07-12-2024,2024,12,7,49,5
08-12-2024,2024,12,8,49,6
09-12-2024,2024,12,9,50,0
10-12-2024,2024,12,10,50,1
11-12-2024,2024,12,11,50,2
12-12-2024,2024,12,12,50,3
13-12-2024,2024,12,13,50,4
14-12-2024,2024,12,14,50,5
